Name,X Handle,X URL,Bucket,Tier,Dream 100,Handle Confirmed
Forrester,@forrester,https://x.com/forrester,F. Market-map / deal-data,T1,Dream 100,no
Tracxn,@tracxn,https://x.com/tracxn,F. Market-map / deal-data,T1,Dream 100,no
Sacra,@sacra_inc,https://x.com/sacra_inc,F. Market-map / deal-data,T1,Dream 100,no
Public Comps,@public_comps,https://x.com/public_comps,F. Market-map / deal-data,T1,Dream 100,no
Meritech Capital,@meritechcapital,https://x.com/meritechcapital,F. Market-map / deal-data,T1,Dream 100,no
Dealroom,@Dealroomco,https://x.com/Dealroomco,F. Market-map / deal-data,T1,Dream 100,no
Contrary Research,@ContraryRes,https://x.com/ContraryRes,F. Market-map / deal-data,T1,Dream 100,no
Bessemer (State of the Cloud),@bessemervp,https://x.com/bessemervp,F. Market-map / deal-data,T1,Dream 100,no
Battery Ventures (OpenCloud),@battery_ventures,https://x.com/battery_ventures,F. Market-map / deal-data,T1,Dream 100,no
Scale Venture Partners,@scalevp,https://x.com/scalevp,F. Market-map / deal-data,T1,Dream 100,no
ICONIQ Growth,@iconiqcapital,https://x.com/iconiqcapital,F. Market-map / deal-data,T1,Dream 100,no
Sapphire Ventures,@SapphireVC,https://x.com/SapphireVC,F. Market-map / deal-data,T1,Dream 100,no
Mark Suster (Upfront),@msuster,https://x.com/msuster,C. VC who's-hot commentary,T2,Dream 100,yes
Jason Calacanis,@jason,https://x.com/jason,C. VC who's-hot commentary,T2,Dream 100,yes
Keith Rabois,@rabois,https://x.com/rabois,C. VC who's-hot commentary,T2,Dream 100,yes
Ben Horowitz (a16z),@bhorowitz,https://x.com/bhorowitz,C. VC who's-hot commentary,T2,Dream 100,yes
Marc Andreessen,@pmarca,https://x.com/pmarca,C. VC who's-hot commentary,T2,Dream 100,yes
Logan Bartlett (Redpoint),@loganbartlett,https://x.com/loganbartlett,C. VC who's-hot commentary,T2,Dream 100,no
Semil Shah (Haystack),@semil,https://x.com/semil,C. VC who's-hot commentary,T2,Dream 100,yes
Fred Destin (Stride),@fdestin,https://x.com/fdestin,C. VC who's-hot commentary,T2,Dream 100,no
Erik Torenberg (Turpentine),@eriktorenberg,https://x.com/eriktorenberg,C. VC who's-hot commentary,T2,Dream 100,yes
Bryce Roberts,@bryce,https://x.com/bryce,C. VC who's-hot commentary,T2,Dream 100,no
a16z (firm),@a16z,https://x.com/a16z,C. VC who's-hot commentary,T2,Dream 100,no
Sequoia (firm),@sequoia,https://x.com/sequoia,C. VC who's-hot commentary,T2,Dream 100,no
GV (firm),@GoogleVentures,https://x.com/GoogleVentures,C. VC who's-hot commentary,T2,Dream 100,no
Greylock (firm),@Greylock,https://x.com/Greylock,C. VC who's-hot commentary,T2,Dream 100,no
IVP (firm),@IVP,https://x.com/IVP,C. VC who's-hot commentary,T2,Dream 100,no
General Catalyst (firm),@generalcatalyst,https://x.com/generalcatalyst,C. VC who's-hot commentary,T2,Dream 100,no
Dan Primack (Axios Pro Rata),@danprimack,https://x.com/danprimack,E. Tech-dealmaking media,T2,Dream 100,yes
Eric Newcomer (Newcomer),@EricNewcomer,https://x.com/EricNewcomer,E. Tech-dealmaking media,T2,Dream 100,yes
The Information,@TheInformation,https://x.com/TheInformation,E. Tech-dealmaking media,T2,Dream 100,no
Kate Clark,@kateclarktweets,https://x.com/kateclarktweets,E. Tech-dealmaking media,T2,Dream 100,no
Teddy Schleifer (Puck),@teddyschleifer,https://x.com/teddyschleifer,E. Tech-dealmaking media,T2,Dream 100,no
Biz Carson,@bizcarson,https://x.com/bizcarson,E. Tech-dealmaking media,T2,Dream 100,no
StrictlyVC,@StrictlyVC,https://x.com/StrictlyVC,E. Tech-dealmaking media,T2,Dream 100,no
Axios,@axios,https://x.com/axios,E. Tech-dealmaking media,T2,Dream 100,no
Bloomberg,@business,https://x.com/business,E. Tech-dealmaking media,T2,Dream 100,no
WSJ (Pro/Deals),@WSJ,https://x.com/WSJ,E. Tech-dealmaking media,T2,Dream 100,no
TechCrunch,@TechCrunch,https://x.com/TechCrunch,E. Tech-dealmaking media,T2,Dream 100,no
Fortune (Term Sheet),@FortuneMagazine,https://x.com/FortuneMagazine,E. Tech-dealmaking media,T2,Dream 100,no
CNBC,@CNBC,https://x.com/CNBC,E. Tech-dealmaking media,T2,Dream 100,no
Jessica Lessin (The Information),@Lessin,https://x.com/Lessin,E. Tech-dealmaking media,T2,Dream 100,no
Puck,@PuckNews,https://x.com/PuckNews,E. Tech-dealmaking media,T2,Dream 100,no
Axios Pro Rata (newsletter),@AxiosProRata,https://x.com/AxiosProRata,E. Tech-dealmaking media,T2,Dream 100,no
