period,sector_slug,sector_name,startup_name,stage,geography,commit_velocity_14d,commit_velocity_change_pct,contributors,contributor_growth_pct,new_repos,signal_type,github_url
q2-2026,proptech,PropTech,open-condo-software,Growth,LATAM,46,-6,51,0,0,Framework migration,https://github.com/open-condo-software
q1-2026,proptech,PropTech,open-condo-software,Growth,LATAM,23,15,51,0,0,Framework migration,https://github.com/open-condo-software
q4-2025,proptech,PropTech,open-condo-software,Growth,LATAM,68,-3,51,0,0,Framework migration,https://github.com/open-condo-software
q3-2025,proptech,PropTech,open-condo-software,Growth,LATAM,64,100,51,0,0,Framework migration,https://github.com/open-condo-software
q2-2026,agtech,AgTech,LiteFarmOrg,Growth,Canada,84,-41,65,0,0,Framework migration,https://github.com/LiteFarmOrg
q2-2026,agtech,AgTech,betagouv,Growth,EU,16,-24,100,32,1,Framework migration,https://github.com/betagouv
q1-2026,agtech,AgTech,LiteFarmOrg,Growth,Canada,83,999,65,0,0,Deploy frequency spike,https://github.com/LiteFarmOrg
q1-2026,agtech,AgTech,betagouv,Growth,EU,12,100,100,32,1,Framework migration,https://github.com/betagouv
q4-2025,agtech,AgTech,LiteFarmOrg,Growth,Canada,143,42,65,0,0,Framework migration,https://github.com/LiteFarmOrg
q4-2025,agtech,AgTech,betagouv,Growth,EU,10,43,100,32,1,Framework migration,https://github.com/betagouv
q3-2025,agtech,AgTech,LiteFarmOrg,Growth,Canada,65,38,65,0,0,Framework migration,https://github.com/LiteFarmOrg
q3-2025,agtech,AgTech,betagouv,Growth,EU,10,100,100,32,1,Framework migration,https://github.com/betagouv
q2-2026,gaming,Gaming,FlaxEngine,Growth,Unknown,83,-55,89,30,0,Framework migration,https://github.com/FlaxEngine
q2-2026,gaming,Gaming,castle-engine,Series A/B,Unknown,40,344,24,0,0,Deploy frequency spike,https://github.com/castle-engine
q2-2026,gaming,Gaming,ohrrpgce,Pre-seed,Unknown,1,-94,3,240,0,Engineering hiring burst,https://github.com/ohrrpgce
q1-2026,gaming,Gaming,FlaxEngine,Growth,Unknown,75,88,89,30,0,Framework migration,https://github.com/FlaxEngine
q1-2026,gaming,Gaming,castle-engine,Series A/B,Unknown,84,282,24,0,0,Deploy frequency spike,https://github.com/castle-engine
q1-2026,gaming,Gaming,ohrrpgce,Pre-seed,Unknown,38,280,3,240,0,Engineering hiring burst,https://github.com/ohrrpgce
q4-2025,gaming,Gaming,FlaxEngine,Growth,Unknown,91,11,89,30,0,Framework migration,https://github.com/FlaxEngine
q4-2025,gaming,Gaming,castle-engine,Series A/B,Unknown,37,106,24,0,0,Framework migration,https://github.com/castle-engine
q4-2025,gaming,Gaming,ohrrpgce,Pre-seed,Unknown,18,-47,3,240,0,Engineering hiring burst,https://github.com/ohrrpgce
q3-2025,gaming,Gaming,FlaxEngine,Growth,Unknown,39,-54,89,30,0,Framework migration,https://github.com/FlaxEngine
q3-2025,gaming,Gaming,castle-engine,Series A/B,Unknown,96,52,24,0,0,Framework migration,https://github.com/castle-engine
q3-2025,gaming,Gaming,ohrrpgce,Pre-seed,Unknown,23,-63,3,240,0,Engineering hiring burst,https://github.com/ohrrpgce
q2-2026,space-tech,Space Tech,naev,Growth,Unknown,71,-58,100,0,0,Framework migration,https://github.com/naev
q2-2026,space-tech,Space Tech,orbiternassp,Series A/B,Unknown,30,329,37,0,0,Deploy frequency spike,https://github.com/orbiternassp
q2-2026,space-tech,Space Tech,OpenC3,Series A/B,US,87,0,45,0,0,Framework migration,https://github.com/OpenC3
q1-2026,space-tech,Space Tech,naev,Growth,Unknown,185,-19,100,0,0,Framework migration,https://github.com/naev
q1-2026,space-tech,Space Tech,orbiternassp,Series A/B,Unknown,46,12,37,0,0,Framework migration,https://github.com/orbiternassp
q1-2026,space-tech,Space Tech,OpenC3,Series A/B,US,159,4,45,0,0,Framework migration,https://github.com/OpenC3
q4-2025,space-tech,Space Tech,naev,Growth,Unknown,140,46,100,0,0,Framework migration,https://github.com/naev
q4-2025,space-tech,Space Tech,orbiternassp,Series A/B,Unknown,50,138,37,0,0,Framework migration,https://github.com/orbiternassp
q4-2025,space-tech,Space Tech,OpenC3,Series A/B,US,42,-58,45,0,0,Framework migration,https://github.com/OpenC3
q3-2025,space-tech,Space Tech,naev,Growth,Unknown,305,37,100,0,0,Framework migration,https://github.com/naev
q3-2025,space-tech,Space Tech,orbiternassp,Series A/B,Unknown,30,-14,37,0,0,Framework migration,https://github.com/orbiternassp
q3-2025,space-tech,Space Tech,OpenC3,Series A/B,US,57,39,45,0,0,Framework migration,https://github.com/OpenC3
q2-2026,social-community,Social & Community,nextcloud,Growth,Unknown,57,-39,100,0,0,Framework migration,https://github.com/nextcloud
q2-2026,social-community,Social & Community,bakaphp,Seed,LATAM,598,32,14,8,1,Framework migration,https://github.com/bakaphp
q2-2026,social-community,Social & Community,unacms,Seed,Unknown,34,-26,11,0,0,Framework migration,https://github.com/unacms
q1-2026,social-community,Social & Community,nextcloud,Growth,Unknown,53,430,100,0,0,Deploy frequency spike,https://github.com/nextcloud
q1-2026,social-community,Social & Community,bakaphp,Seed,LATAM,440,19,14,8,1,Framework migration,https://github.com/bakaphp
q1-2026,social-community,Social & Community,unacms,Seed,Unknown,33,-30,11,0,0,Framework migration,https://github.com/unacms
q4-2025,social-community,Social & Community,nextcloud,Growth,Unknown,132,6,100,0,0,Framework migration,https://github.com/nextcloud
q4-2025,social-community,Social & Community,bakaphp,Seed,LATAM,502,-13,14,8,1,Framework migration,https://github.com/bakaphp
q4-2025,social-community,Social & Community,unacms,Seed,Unknown,54,-16,11,0,0,Framework migration,https://github.com/unacms
q3-2025,social-community,Social & Community,nextcloud,Growth,Unknown,98,13,100,0,0,Framework migration,https://github.com/nextcloud
